timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,highest_bid,lowest_bid,highest_ask,lowest_ask
2021-03-15,0.10000000,60.00000000,0.10000000,20.74030000,70455052.26000000,1615852799999,1835349273.15436600,2603821,37155582.00000000,960918239.34307900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-16,20.74060000,25.69580000,15.50100000,17.05900000,15804792.98000000,1615939199999,306652935.01806000,666575,7726572.82000000,150464385.23849200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-17,17.01480000,18.81710000,14.08510000,14.59490000,5959610.08000000,1616025599999,94408853.27356400,292544,2880028.37000000,45638341.13658100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-18,14.59480000,19.92470000,14.30230000,17.01410000,10497030.94000000,1616111999999,181862466.25098500,450913,5391107.82000000,93457229.10656300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-19,17.01250000,17.99990000,14.96000000,15.16160000,4100834.18000000,1616198399999,66993942.11248600,212683,2011677.07000000,32916258.83550400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-20,15.16300000,15.58000000,14.27000000,14.35400000,2333038.70000000,1616284799999,34995960.92403600,115503,1102860.33000000,16573815.76585500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-21,14.35760000,14.65570000,13.11000000,14.06120000,3167133.68000000,1616371199999,43767710.62011300,145254,1462254.69000000,20239554.21390500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-22,14.05950000,14.15690000,12.00000000,12.05000000,3028825.50000000,1616457599999,39824851.79240300,126131,1331755.85000000,17554703.60090000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-23,12.07660000,12.46440000,11.44060000,11.60190000,2531767.67000000,1616543999999,29946769.23844100,96192,1136997.14000000,13478627.86961500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-24,11.60290000,14.67310000,11.46000000,11.87480000,4868241.31000000,1616630399999,64037712.81731400,175193,2467447.33000000,32526736.77922400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-25,11.87480000,12.49910000,10.48200000,10.92760000,2834747.74000000,1616716799999,32305987.46878700,95565,1337570.79000000,15281797.75414500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-26,10.92690000,13.85000000,10.88560000,13.43490000,3332412.65000000,1616803199999,41971216.00037500,110964,1700071.71000000,21455600.89479800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-27,13.43490000,14.50890000,12.20000000,13.42820000,3072062.26000000,1616889599999,40979760.31258000,103699,1572265.47000000,21030687.68280000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-28,13.39730000,18.23000000,13.32080000,16.68670000,9202503.68000000,1616975999999,150743585.50034300,323685,4697440.01000000,76949108.64251400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-29,16.66970000,16.84560000,15.25100000,15.82130000,2856379.82000000,1617062399999,45755994.75123100,115316,1386471.32000000,22224867.59372600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-30,15.82130000,17.27680000,15.15090000,16.02680000,2752347.09000000,1617148799999,44933867.01844800,105521,1370783.92000000,22386703.16315600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-03-31,16.04960000,16.54170000,13.50000000,14.62860000,2824221.59000000,1617235199999,42281171.98107100,116273,1322503.56000000,19821396.41023400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-01,14.62690000,15.31000000,13.73000000,14.33550000,1679477.97000000,1617321599999,24501305.06178300,72463,819379.30000000,11972573.25675300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-02,14.33500000,15.10020000,14.06010000,14.70970000,1466216.38000000,1617407999999,21334987.82092900,64603,693188.26000000,10089217.36600700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-03,14.70980000,15.48900000,13.20000000,13.48990000,1699146.53000000,1617494399999,24561921.98592900,89291,776229.37000000,11268689.85973400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-04,13.48980000,14.50000000,13.26410000,14.33390000,950552.66000000,1617580799999,13452055.17877200,49284,468477.40000000,6631008.99946200,0,0.68500000,0.55200000,0.68600000,0.80800000
